filename,ipc2014-agl-jasper:default,ipc2014-agl-mpc:default,ipc2014-agl-probe:default,ipc2018-agl-freelunch-madagascar:default,ipc2018-agl-mercury2014:agl,ipc2018-agl-merwin:agl,ipc2018-agl-olcff:default,ipc2018-agl-saarplan:default,ipc2018-lapkt-bfws:bfws-pref-agl,ipc2018-lapkt-bfws:dual-bfws-agl,ipc2018-lapkt-bfws:poly-bfws,ipc2018-lapkt-dfs-plus:default
agricola-strips:0-p07.pddl,-,-,-,-,-,-,-,-,178.963,154.114,147.42,115.016
agricola-strips:0-p14.pddl,-,-,-,-,-,-,292.391,291.826,147.437,112.59,152.331,113.26
agricola-strips:0-p21.pddl,-,-,-,-,19.8207,171.888,42.8331,25.6725,-,-,71.0923,165.238
agricola-strips:0-p22.pddl,99.5164,-,-,-,30.3496,24.5349,55.2603,73.0284,-,-,101.832,-
agricola-strips:0-p23.pddl,-,-,-,-,102.528,93.5825,63.0635,142.711,-,-,184.533,-
agricola-strips:0-p24.pddl,-,-,-,-,-,-,271.989,162.504,-,-,211.49,-
agricola-strips:0-p25.pddl,-,-,-,-,200.026,109.503,288.855,157.366,-,-,-,-
agricola-strips:0-p26.pddl,154.732,-,-,-,35.2209,-,57.5523,137.051,-,-,127.998,295.733
agricola-strips:0-p27.pddl,-,-,-,-,-,-,231.334,143.256,-,-,168.439,-
agricola-strips:0-p28.pddl,-,-,-,-,91.4106,-,242.104,195.169,-,-,221.16,-
agricola-strips:0-p29.pddl,-,-,-,-,163.876,158.367,-,164.518,-,-,268.164,-
agricola-strips:0-p30.pddl,-,-,-,-,-,-,-,211.861,26.7208,-,-,-
agricola-strips:1-p07.pddl,166.609,-,-,-,112.07,138.43,163.045,147.753,65.4419,93.1756,86.281,48.9673
agricola-strips:1-p08.pddl,289.287,-,-,-,178.124,-,224.437,258.41,93.627,87.7886,95.1225,76.0872
agricola-strips:1-p09.pddl,-,-,-,-,-,-,-,-,126.049,134.636,138.423,92.3552
agricola-strips:1-p10.pddl,-,-,-,-,-,-,-,-,199.776,189.004,177.42,80.6828
agricola-strips:1-p19.pddl,-,-,-,-,132.292,177.328,171.692,190.527,178.868,65.4765,71.3347,45.2806
agricola-strips:1-p20.pddl,-,-,-,-,-,-,-,-,281.519,160.192,145.317,100.646
agricola-strips:1-p29.pddl,-,-,-,-,-,-,-,-,149.544,138.777,128.645,104.578
agricola-strips:1-p30.pddl,-,-,-,-,-,-,-,-,222.904,207.278,211.084,118.042
agricola-strips:3-p06.pddl,-,-,-,-,279.249,-,205.574,203.086,110.099,97.2086,99.8009,78.5835
agricola-strips:3-p07.pddl,-,-,-,-,271.547,-,253.231,223.052,103.875,109.269,106.512,88.6153
agricola-strips:3-p08.pddl,-,-,-,-,-,-,-,-,96.6696,161.249,153.991,85.1577
agricola-strips:3-p09.pddl,-,-,-,-,-,-,-,-,133.05,160.146,148.05,93.8867
agricola-strips:3-p10.pddl,-,-,-,-,-,-,-,-,143.955,162.271,177.086,110.292
agricola-strips:3-p11.pddl,-,-,-,-,-,-,230.049,179.763,-,-,-,-
agricola-strips:3-p12.pddl,70.5191,-,-,-,29.6966,36.3892,105.316,36.1865,-,263.428,106.99,-
agricola-strips:3-p13.pddl,98.2601,-,-,-,23.0219,28.1049,38.7628,38.4837,11.6583,194.047,11.9014,-
agricola-strips:3-p14.pddl,-,-,-,-,-,-,-,151.109,-,-,-,-
airport-adl:0-p07-airport2-p2.pddl,1.01928,0.467613,0.802822,0.536073,-,-,-,0.996867,-,-,-,-
airport-adl:0-p13-airport3-p2.pddl,1.04698,0.536463,0.888001,0.605602,-,-,-,1.07474,-,-,-,-
airport-adl:0-p18-airport3-p6.pddl,1.97334,0.696156,6.65579,1.56963,-,-,-,2.44487,-,-,-,-
airport-adl:0-p20-airport3-p7.pddl,4.17886,0.894615,44.4156,2.4247,-,-,-,8.19871,-,-,-,-
airport-adl:0-p22-airport4halfMUC-p3.pddl,18.6362,11.3816,-,24.3077,-,-,-,29.9147,57.7356,58.2935,57.4628,58.6988
airport-adl:0-p23-airport4halfMUC-p4.pddl,18.3134,18.452,-,40.6263,-,-,-,31.2159,-,-,-,-
airport-adl:0-p24-airport4halfMUC-p4.pddl,29.7286,15.6627,-,33.6028,-,-,-,29.1645,75.0372,75.1346,73.4317,77.5589
airport-adl:0-p25-airport4halfMUC-p5.pddl,23.1362,18.9801,-,42.9789,-,-,-,34.8204,-,-,-,-
airport-adl:0-p26-airport4halfMUC-p6.pddl,25.0208,27.5118,-,61.8754,-,-,-,35.9091,-,-,-,-
airport-adl:0-p27-airport4halfMUC-p6.pddl,-,26.4804,-,56.0753,-,-,-,35.9419,117.702,116.719,117.03,131.569
airport-adl:0-p28-airport4halfMUC-p7.pddl,-,30.782,-,66.8921,-,-,-,-,-,-,-,-
airport-adl:0-p29-airport4halfMUC-p8.pddl,-,37.6925,-,91.6707,-,-,-,55.9809,-,-,-,-
airport-adl:0-p30-airport4halfMUC-p8.pddl,39.2168,35.7241,-,75.7053,-,-,-,-,168.749,168.322,170.688,202.881
