filename,ipc2014-opt-symba1:default,ipc2018-decstar:opt-config00,ipc2018-decstar:opt-config01,ipc2018-decstar:opt-config02,ipc2018-decstar:opt-config03,ipc2018-decstar:opt-config04,ipc2018-decstar:opt-config05,ipc2018-decstar:opt-config06,ipc2018-opt-complementary2:default,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-dks-900masginfsccdfp,ipc2018-opt-delfi:h2-simpless-dks-blind,ipc2018-opt-delfi:h2-simpless-dks-celmcut,ipc2018-opt-delfi:h2-simpless-dks-cpdbshc900,ipc2018-opt-delfi:h2-simpless-dks-zopdbsgenetic,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-oss-blind,ipc2018-opt-delfi:h2-simpless-oss-celmcut,ipc2018-opt-delfi:h2-simpless-oss-cpdbshc900,ipc2018-opt-delfi:h2-simpless-oss-masginfsccdfp,ipc2018-opt-delfi:h2-simpless-oss-zopdbsgenetic,ipc2018-opt-delfi:simpless-dks-masb50kmiasmdfp,ipc2018-opt-delfi:simpless-oss-masb50kmiasmdfp,ipc2018-opt-metis:metis2,ipc2018-opt-planning-pdbs:default,ipc2018-opt-scorpion:default,ipc2018-symple1:symple100000OPT,ipc2018-symple2:symple100000OPT
agricola-strips:0-p04.pddl,820.973,-,-,-,-,-,-,-,-,156.488,180.745,160.841,119.376,-,262.307,122.26,859.94,167.326,101.592,-,263.569,136.877,101.185,-,-,-,-,-,-,-
agricola-strips:0-p05.pddl,503.628,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
agricola-strips:0-p11.pddl,573.647,-,-,-,-,-,-,-,-,483.472,462.798,424.125,333.713,-,508.667,338.938,1202.66,404.76,272.659,-,499.835,358.087,283.097,-,-,-,-,-,-,-
agricola-strips:0-p13.pddl,1121.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
agricola-strips:0-p17.pddl,148.495,-,-,-,-,-,-,-,-,162.236,-,-,-,-,907.3,-,-,-,-,-,856.884,-,-,-,-,-,-,-,-,-
agricola-strips:0-p18.pddl,1761.28,-,-,-,-,-,-,-,-,1155.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
agricola-strips:0-p21.pddl,52.5111,-,-,-,-,-,-,-,976.876,99.8863,83.6476,136.179,106.069,-,42.1839,42.8183,976.521,83.6207,94.8876,-,39.0576,128.035,38.343,-,-,-,379.777,-,-,-
agricola-strips:0-p22.pddl,89.7746,-,-,-,-,-,-,-,1001.61,405.394,143.962,175.912,132.294,-,75.9264,125.129,1008.83,135.091,117.178,-,71.8284,161.849,112.017,-,-,-,461.006,-,-,-
agricola-strips:0-p23.pddl,-,-,-,-,-,-,-,-,-,617.641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
agricola-strips:0-p24.pddl,1169.53,-,-,-,-,-,-,-,-,895.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
agricola-strips:0-p26.pddl,536.282,-,-,-,-,-,-,-,-,590.371,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
agricola-strips:0-p27.pddl,1579.35,-,-,-,-,-,-,-,-,1530.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
agricola-strips:1-p04.pddl,-,-,-,-,-,-,-,-,-,668.497,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
agricola-strips:1-p14.pddl,90.5274,-,-,-,-,-,-,-,263.197,171.344,-,-,-,-,760.583,-,-,-,-,-,734.149,-,-,-,-,-,242.943,-,-,-
agricola-strips:1-p15.pddl,960.796,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
agricola-strips:1-p24.pddl,150.361,-,-,-,-,-,-,-,-,293.291,174.203,162.232,124.298,-,239.646,126.261,1014.81,168.583,103.792,-,239.404,140.431,102.048,-,-,-,-,-,-,-
agricola-strips:1-p25.pddl,423.575,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
agricola-strips:2-p05.pddl,84.827,-,-,-,-,-,-,-,1108.89,252.45,142.451,129.596,91.855,-,407.722,92.459,980.48,151.905,82.8395,-,404.871,123.702,83.583,-,-,-,410.45,-,-,-
agricola-strips:2-p06.pddl,100.758,-,-,-,-,-,-,-,-,371.614,297.611,309.053,245.694,-,510.996,252.811,1105.94,287.702,205.003,-,505.251,271.772,210.424,-,-,-,-,-,-,-
agricola-strips:2-p07.pddl,71.5923,-,-,-,-,-,-,-,921.168,1156.15,581.351,-,-,-,826.804,-,1767.25,989.034,-,-,802.337,-,830.014,-,-,-,376.269,-,-,-
agricola-strips:2-p08.pddl,474.943,-,-,-,-,-,-,-,-,242.396,-,-,-,-,1200.02,-,-,-,-,-,1110.35,-,-,-,-,-,-,-,-,-
agricola-strips:2-p09.pddl,855.782,-,-,-,-,-,-,-,-,619.75,582.117,1059.11,885.181,-,837.678,851.772,1643.71,634.322,711.748,-,813.612,878.739,680.242,-,-,-,-,-,-,-
