Task;pddlHasTypes;pddlMarksTotalNumActions;pddlMaxNegationsPerEffect;pddlMaxParamsPerPredicate;pddlMaxPredicatesPerEffect;pddlMaxPredicatesPerPrecondition;pddlMeanNegationsPerEffect;pddlMeanParamsPerPredicate;pddlMeanPredicatesPerEffect;pddlMeanPredicatesPerPrecondition;pddlMinNegationsPerEffect;pddlMinParamsPerPredicate;pddlMinPredicatesPerEffect;pddlMinPredicatesPerPrecondition;pddlNumActions;pddlNumConstants;pddlNumConstantsAndObjects;pddlNumEqualityInitialConditions;pddlNumFunctionAssignmentsInInitialConditions;pddlNumGoals;pddlNumInitialConditions;pddlNumObjects;pddlNumPredicates;pddlNumTypes;pddlRatioActionsWithNegativeEffectsOverActions;pddlRequiresADL;pddlRequiresActionCosts;pddlRequiresConditionalEffects;pddlRequiresConstraints;pddlRequiresContinuousEffects;pddlRequiresDerivedPredicates;pddlRequiresDisjunctivePreconditions;pddlRequiresDomainAxioms;pddlRequiresDurationInequalities;pddlRequiresDurativeActions;pddlRequiresEquality;pddlRequiresExistentialPreconditions;pddlRequiresFluents;pddlRequiresNegation;pddlRequiresNegativePreconditions;pddlRequiresNumericFluents;pddlRequiresObjectFluents;pddlRequiresPreferences;pddlRequiresQuantifiedPreconditions;pddlRequiresSafetyConstraints;pddlRequiresStrips;pddlRequiresTimedInitialLiterals;pddlRequiresTyping;pddlRequiresUniversalPreconditions
agricola-strips:0-p04.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;84;84;6;1;260;44;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p05.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;87;87;6;1;267;47;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p11.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;87;87;6;1;267;47;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p13.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;99;99;9;1;408;59;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p17.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;84;84;3;1;262;44;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p18.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;90;90;3;1;274;50;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p21.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;80;80;4;2;252;40;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p22.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;83;83;4;2;259;43;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p23.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;88;88;4;2;270;48;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p24.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;90;90;4;2;274;50;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p26.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;88;88;4;2;270;48;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p27.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;90;90;4;2;274;50;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:1-p04.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;90;90;3;1;274;50;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:1-p14.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;84;84;3;1;262;44;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:1-p15.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;90;90;3;1;274;50;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:1-p24.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;84;84;6;1;260;44;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:1-p25.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;87;87;6;1;267;47;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:2-p05.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;83;83;4;1;259;43;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:2-p06.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;85;85;5;1;263;45;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:2-p07.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;84;84;3;1;262;44;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:2-p08.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;86;86;4;1;266;46;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
