Task;pddlHasTypes;pddlMarksTotalNumActions;pddlMaxNegationsPerEffect;pddlMaxParamsPerPredicate;pddlMaxPredicatesPerEffect;pddlMaxPredicatesPerPrecondition;pddlMeanNegationsPerEffect;pddlMeanParamsPerPredicate;pddlMeanPredicatesPerEffect;pddlMeanPredicatesPerPrecondition;pddlMinNegationsPerEffect;pddlMinParamsPerPredicate;pddlMinPredicatesPerEffect;pddlMinPredicatesPerPrecondition;pddlNumActions;pddlNumConstants;pddlNumConstantsAndObjects;pddlNumEqualityInitialConditions;pddlNumFunctionAssignmentsInInitialConditions;pddlNumGoals;pddlNumInitialConditions;pddlNumObjects;pddlNumPredicates;pddlNumTypes;pddlRatioActionsWithNegativeEffectsOverActions;pddlRequiresADL;pddlRequiresActionCosts;pddlRequiresConditionalEffects;pddlRequiresConstraints;pddlRequiresContinuousEffects;pddlRequiresDerivedPredicates;pddlRequiresDisjunctivePreconditions;pddlRequiresDomainAxioms;pddlRequiresDurationInequalities;pddlRequiresDurativeActions;pddlRequiresEquality;pddlRequiresExistentialPreconditions;pddlRequiresFluents;pddlRequiresNegation;pddlRequiresNegativePreconditions;pddlRequiresNumericFluents;pddlRequiresObjectFluents;pddlRequiresPreferences;pddlRequiresQuantifiedPreconditions;pddlRequiresSafetyConstraints;pddlRequiresStrips;pddlRequiresTimedInitialLiterals;pddlRequiresTyping;pddlRequiresUniversalPreconditions
agricola-strips:0-p07.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;112;112;11;1;533;72;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p14.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;111;111;12;1;585;71;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p21.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;80;80;4;2;252;40;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p22.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;83;83;4;2;259;43;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p23.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;88;88;4;2;270;48;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p24.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;90;90;4;2;274;50;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p25.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;94;94;4;2;282;54;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p26.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;88;88;4;2;270;48;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p27.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;90;90;4;2;274;50;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p28.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;94;94;4;2;282;54;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p29.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;96;96;4;2;286;56;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:0-p30.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;98;98;4;2;290;58;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
agricola-strips:1-p07.pddl;1;22;5;3;18;10;2.36363636364;1.34375;5.13636363636;6.31818181818;1;0;2;1;22;40;106;106;7;1;341;66;32;18;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
