Granularity: 10s    Final score: 1729.6101765883868    Configs: 32    Min time: 5    Max time: 281
Granularity: 15s    Final score: 1734.109231324299    Configs: 27    Min time: 12    Max time: 370
Granularity: 20s    Final score: 1745.0496036863249    Configs: 21    Min time: 16    Max time: 376
Granularity: 30s    Final score: 1758.9991697835726    Configs: 16    Min time: 28    Max time: 357
Granularity: 40s    Final score: 1750.3646935457223    Configs: 15    Min time: 37    Max time: 359
Granularity: 50s    Final score: 1754.1405665574189    Configs: 14    Min time: 48    Max time: 348
Granularity: 60s    Final score: 1751.4374984836868    Configs: 13    Min time: 55    Max time: 418
Granularity: 70s    Final score: 1740.9043026954143    Configs: 15    Min time: 65    Max time: 348
Granularity: 80s    Final score: 1742.5443276780193    Configs: 13    Min time: 70    Max time: 377
Granularity: 90s    Final score: 1745.651480766158    Configs: 12    Min time: 81    Max time: 359
Granularity: 100s    Final score: 1742.6184030723389    Configs: 11    Min time: 95    Max time: 399
Granularity: 110s    Final score: 1735.9860976393265    Configs: 10    Min time: 104    Max time: 422
Granularity: 120s    Final score: 1740.9926999276677    Configs: 9    Min time: 115    Max time: 359
Granularity: 130s    Final score: 1725.5794657923207    Configs: 9    Min time: 115    Max time: 377
Granularity: 140s    Final score: 1722.0088612744116    Configs: 9    Min time: 131    Max time: 280
Granularity: 150s    Final score: 1728.2325343179964    Configs: 9    Min time: 145    Max time: 299
Granularity: 160s    Final score: 1722.7004363830981    Configs: 9    Min time: 145    Max time: 320
Granularity: 170s    Final score: 1713.176022973622    Configs: 8    Min time: 159    Max time: 337
Granularity: 180s    Final score: 1725.1839028692946    Configs: 8    Min time: 166    Max time: 359
Granularity: 190s    Final score: 1707.1136676579338    Configs: 7    Min time: 181    Max time: 378
Granularity: 200s    Final score: 1712.0467121886936    Configs: 8    Min time: 181    Max time: 399
Granularity: 220s    Final score: 1703.7311361490774    Configs: 7    Min time: 212    Max time: 436
Granularity: 240s    Final score: 1687.0748084602826    Configs: 6    Min time: 230    Max time: 477
Granularity: 260s    Final score: 1662.9510210713759    Configs: 5    Min time: 249    Max time: 520
Granularity: 280s    Final score: 1678.620483763806    Configs: 5    Min time: 277    Max time: 555
Granularity: 300s    Final score: 1688.8105047238178    Configs: 5    Min time: 291    Max time: 600
Granularity: 330s    Final score: 1668.2653874740301    Configs: 5    Min time: 316    Max time: 330
Granularity: 360s    Final score: 1687.1614213603132    Configs: 5    Min time: 340    Max time: 359
Granularity: 390s    Final score: 1649.973174355086    Configs: 4    Min time: 377    Max time: 386
Granularity: 420s    Final score: 1658.9739530099928    Configs: 4    Min time: 413    Max time: 420
Granularity: 450s    Final score: 1664.8239484360197    Configs: 4    Min time: 423    Max time: 450
Granularity: 500s    Final score: 1609.6406045697897    Configs: 3    Min time: 494    Max time: 498
Granularity: 550s    Final score: 1621.4717982262553    Configs: 3    Min time: 531    Max time: 549
Granularity: 600s    Final score: 1635.479493688454    Configs: 3    Min time: 587    Max time: 600
Granularity: 900s    Final score: 1553.0797417349072    Configs: 2    Min time: 832    Max time: 899
